int,string,string,string
id,name,description,relatedIconFileName
1000,#1 – 평화롭고 따분한 나날들,"오늘도 별일 없다.

물 빠지는 소리, 축축한 돌벽, 그리고 쥐들.

어릴 적부터 이곳에서 일했지만, 아직도 햇빛이 그립긴 하다.

저 위에서는 축제가 한창이라지. 왕이 또 백성들을 위해 무언가를 베푸신다나.

뭐, 난 여기서 내 일을 하면 된다. 고요하고, 안전하고… 조금 따분하지만.",Record1-1
1001,#2 - 이상현상 발생,"요즘 들어 하수에 **이상한 것**들이 떠내려온다.

피범벅이 된 옷가지, 사람 손처럼 보이는 무언가…

처음엔 보고할까 했지만, 문제 될까봐 그냥 처리했다.

지루하긴 하지만 이것만큼 편한 직업도 없다. 

쓸데없는 일로 실직하긴 싫다고.

**그러고 보니 쥐들이 요즘 유난히 커진것 같다**. …밥이 많아져서 그런가?

이상하긴 하지만, 내 일이야. 그냥 처리하면 된다.",Record1-2
1002,#3 - 무언가 잘못됐다,"이제 매일같이 시체가 내려온다.

누군가 일부러 하수구에 흘려보내는 것 같다.

난… 알고도 모른 척했다. 처음엔 무서워서, 나중엔… 그냥 익숙해졌다.

쥐들은 사람을 두려워하지 않는다. 오히려 나를 따라다닌다.

내가 시체를 던져주는 걸… 기다린다는 듯이.

저것들은 **괴물이다**..",Record1-3
1003,#4 - 피로 얼룩진 일지,"살려줘… 제발…

쥐들이… 나를…

난… 그냥 시키는 대로 했을 뿐이야.

시체들… 위에서 내려보내라고 해서, 난 그저 치웠을 뿐인데…

내가… 너희한테 먹이를 줬잖아… 왜 나를…

………

(피 묻은 흔적과 함께, 더 이상 읽을 수 없다)",Record1-4
2000,#1 - 멸망의 그날,"그날, 하늘은 검게 물들고 불길할 정도로 붉은 달이 떠올랐다. 

병영을 뛰쳐나오던 병사들이 눈앞에서 뒤틀렸다.

시민들의 비명, 무너지는 건물들… 그 모든 광경이 꿈처럼 어지럽다.

**왕성 중심부에서는 거대한 마력이 휘몰아치고 있었다.**

가까이 다가갈 수 없었다.

지금은 후퇴할 수밖에 없다.

단지… **폐하께서 무사하시길.**

이 혼란을 잠재워주실 수 있기를..",Record2-1
2001,#2 - 피난처를 찾아서,"간신히 살아남은 이들을 모았다.

모두 **육체는 이미 마물처럼 뒤틀렸지만, 아직 이지를 잃지는 않은 자들이었다.**

**밖으로 나가자는 목소리**도 있었다. 하지만…

우릴 받아줄 곳은 없다. 그들의 눈에는 우린 마물이다.

**우리는 이미… 이곳의 일부가 되어버렸다.**

…그렇게 말했다. **나 스스로에게도, 모두에게도.**

**왕국 전역을 덮은 마력의 소용돌이**, 그 혼란 속에서 **사람들은 점점 더 깊이 숨게 되었다.**

결국 가장 안전해 보이던 **지하 폐시설**을 임시 거처로 삼았다.

요즘 들어 **왕성 방향에서 들려오던 소리도 끊겼다.**

아직 그곳에 누군가 계시다면,

…**왕이시여, 부디 이 가여운 백성들을 굽어 살펴주소서.**",Record2-2
2002,#3 - 누가 마물인가,"오늘도 하나를 베었다.

이름도 기억나지 않지만… 친구였다. 아마도.

모두가 입을 다물었다. 

이젠 누구도 서로를 믿지 못한다.

오늘 옆에 있던 동료가 내일 이지를 잃고 공격해온다.

문득, 손에 피가 묻은 채 칼을 쥔 내 모습이 낯설다.

칼에서 풍기는 피내음에 질식할 것만 같다.

……나는 아직 인간인가? 아니면 마물인가?

꿈에서 왕이 보인다. 날 바라보며 ‘**기억하라**’고 하신다.

……**무엇을?**",Record2-3
2003,#4 - 전부 죽여야해,"들어왔다.

안으로 들어왔다.

입을 열고 웃는다.

똑같은 얼굴로.

누가 마물인지, 누가 사람인지… 아니, 다 마물이야.

눈빛이, 그림자가… 틀려.

마을은 이미 마물들 천지다.

나는 경비대장이다.

나는 수문장이다.

지켜야 한다.

마물은… 전부 죽여야 해.

안에서도 나와. 안에서, 안에 숨었어. 안에, 안에…!

막아야 해. 막아야 해. 막아야 해.

없애야 해. 없애야 해. 없애야 해.

아무리 없애도… 소리도, 목소리도, 비명이…

사라지지 않아.

사라지지 않아.

사라지지 않아.

…사라지지 않아.

**…왕이시여.**

**명령을… 계속 수행 중입니다.**

**명을 받들어**

***이 왕국에서, 그 누구도— 벗어나지 못할 것입니다.***",Record2-4
10000,슬라임 ,"하수구에서 나타나는 작은 부정형 마물. 앞만 보고 무작정 움직이며, 부딪히는 모든 것을 흡수해 서서히 녹여버린다. ",Slime
10001,죄수 ,인간이었을때는 죄수였던 것으로 보이며 얼굴에는 여전히 구속장치가 채워져 있다. 인간을 비롯한 생명체에 강한 적대심을 드러낸다.,Convict
10002,하이브,파리 떼를 끊임없이 내보내는 살아있는 둥지. 검붉게 빛나는 살덩이 같은 기괴한 구조물이 꿈틀거리며 존재를 드러낸다.,Hive
10003,파리,하이브에서 소환되는 곤충형 마물. 붉게 빛나는 침을 발사해 살점을 찢고 피를 빨아들인다.,Fly
10004,돌연변이 쥐,"독성으로 가득 찬 하수구에서 변이된 거대 쥐. 아직 성체가 되지 않은 아성체지만, 인간을 감지하면 몸을 말아 굴러들며 무자비하게 공격한다. ",MutantRat
10005,거대 돌연변이 식인 쥐,"하수구의 독성에 완전히 적응해 성체로 성장한 식인쥐. 무리를 지어다니는 습성이 있으며, 땅굴을 파고 나타나 기습 공격을 가한다.",BigMutantRat
10006,거미,실험체로 쓰인 흔적이 남아 있는 작은 거미형 마물. 케이지에서 길러진 뒤 방치된 것으로 보인다. 체력이 얼마 남지 않으면 필사적으로 뛰어올라 자폭을 감행한다.,Spider
10007,경비대원,"경비대의 갑옷을 걸친 인간형 마물. 갑옷을 입은 마물인지, 아니면 갑옷 자체가 마물로 변질된 것인지는 알 수 없다. 목표를 발견하면 기괴한 걸음걸이로 빠르게 달려들어 공격한다.",SecurityGuard
10008,경비대원 (궁수),"과거 경비대원이었던 외눈박이 마물. 하나뿐인 눈이지만, 마력에 뒤틀린 시력으로 멀리 있는 적도 정확히 조준한다.",SecurityArcher
10009,가디언,한때 성을 지키기 위해 제작된 마법 골렘. 강력한 마력으로 작동하며 적을 자동으로 감지하고 격퇴하는 완벽한 수비 장치였다. 그러나 지금은 과도하게 뒤엉킨 마력으로 인해 대부분이 과부화 상태에 빠져 작동하지 않는다. 일부 개체는 아직도 정상 작동중이라고한다.,Guardian
10010,피에 잠긴 자,과거 피난민 마을을 세우고 이끌었던 경비대장이자 촌장. 인간의 정신과 마물의 육체 사이에서 끝없는 고통을 견디며 서서히 광기에 잠식된 존재다. 흡혈귀형 마물로 변질되어 피를 다루는 능력을 지녔다. 하지만 동시에 피를 볼수록 이성을 잃고 광폭화한다.,Sentinel
